author,published_at,updated_at,like_count,Comment
@arsakib8186,2023-07-11T13:58:09Z,2023-07-11T13:58:09Z,0,"I am using HP Envy 15x360 2 in 1 laptop.When I shutdown my laptop then my laptop power light goes off,after 3 or 4 seconds the charging light also goes off then I can&#39;t turn on my laptop.If I unplug the charger cable and plug it again the charger light is not on.I can&#39;t turn on my laptop even if the laptop is unpluged.After a long time when I plug the charging port again then the charging light is on then I can turn on my laptop but after shutdown the charging light goes of again and i can&#39;t turn it on.Pls help me to recover the problem."
@joaquimcosta952,2023-07-11T01:34:19Z,2023-07-11T01:34:19Z,0,Amazing ...
@ericssontest2332,2023-07-10T21:38:20Z,2023-07-10T21:38:20Z,0,….
@AJ-et3vf,2023-07-10T12:40:39Z,2023-07-10T12:40:39Z,0,Great video. Thank you
@johnwilson7845,2023-07-10T12:24:20Z,2023-07-10T12:24:20Z,3,Fantastic video!  Can’t wait to the view the one on custom data types. Thank you
@hadiasghari2297,2023-07-10T02:44:43Z,2023-07-10T02:44:43Z,0,ممنونم از به اشتراك گذاشتن اطلاعاتتون
@omidshirazi4166,2023-07-09T23:13:36Z,2023-07-09T23:13:36Z,0,"Hi Leila you are awesome ❤and I have a problem with this , I&#39;m not able to find data type although I check data menu and my office is 2021"
@yachid_6516,2023-07-09T16:56:39Z,2023-07-09T16:56:39Z,1,"hey Leila~,<br>Not sure how I got unSub~d, <br>sure glad I had U in my e-mail"
@enocharthur4322,2023-07-09T11:18:36Z,2023-07-09T11:18:36Z,0,How do you make tutorials on features we don&#39;t yet have?
@FarhanMerchant,2023-07-09T10:13:32Z,2023-07-09T10:13:32Z,0,"An amazing insight; I&#39;m not sure if i will be using this feature, but you&#39;ve done a great job. I have noticed you have switched your laptop from Surface to hp."
@JakeSmith-jy1kx,2023-07-09T01:24:36Z,2023-07-09T01:24:36Z,0,Those salaries!
@garys2187,2023-07-08T19:56:56Z,2023-07-08T19:56:56Z,0,Thank you for this video.  I have traveling and this was one of the first things I looked at.  I always enjoy and learn something from your videos.  I can&#39;t wait until it rolls out to me.
@Moker2012,2023-07-08T19:31:12Z,2023-07-08T19:31:12Z,0,"I truly like all these ideas and suggestions from Leila, but I constantly run into issues when applying them in to a large corporate environment. Linking data via SharePoint gives enough trouble. But pivoting tables and images across multiple data sources and servers (SharePoint, which which are accessibly to everyone within the target audience)  always gives an error message like: &quot;This is not possible&quot;. Makes me feel like being back in 1998, which is also worth something."
